dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,classical_makespan,relative_gap_pct,output_path
dataset_20.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.0,cobyla,5,aer,,ilp,228.0,141.0,61.702127659574465,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_priority_run3_results.json
dataset_20.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.0,cobyla,5,aer,,ilp,231.0,141.0,63.829787234042556,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_priority_run4_results.json
dataset_20.csv,20,0,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run0_results.json
dataset_20.csv,20,1,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run1_results.json
dataset_20.csv,20,2,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run2_results.json
dataset_20.csv,20,3,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,230.0,141.0,63.12056737588652,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run3_results.json
dataset_20.csv,20,4,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run4_results.json
dataset_20.csv,20,0,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run0_results.json
dataset_20.csv,20,1,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,229.0,141.0,62.4113475177305,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run1_results.json
dataset_20.csv,20,2,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run2_results.json
dataset_20.csv,20,3,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,228.0,141.0,61.702127659574465,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run3_results.json
dataset_20.csv,20,4,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run4_results.json
dataset_20.csv,20,0,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,226.0,141.0,60.283687943262414,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run0_results.json
dataset_20.csv,20,1,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run1_results.json
dataset_20.csv,20,2,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,228.0,141.0,61.702127659574465,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run2_results.json
dataset_20.csv,20,3,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run3_results.json
dataset_20.csv,20,4,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run4_results.json
