dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,topk_makespan,min_makespan_in_samples,classical_makespan,relative_gap_pct,topk_gap_pct,best_sample_gap_pct,output_path
dataset_10.csv,10,0,2,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,brute_force,64.0,53.0,53.0,53,20.754716981132077,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_results.json
dataset_10.csv,10,0,2,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,lpt,64.0,55.0,53.0,53,20.754716981132077,3.7735849056603774,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_results.json
dataset_20.csv,20,0,3,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,ilp,188.0,141.0,141.0,141.0,33.333333333333336,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_results.json
dataset_25.csv,25,0,3,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,ilp,206.0,184.0,146.0,145.0,42.06896551724138,26.896551724137932,0.6896551724137931,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_results.json
