dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,topk_makespan,min_makespan_in_samples,classical_makespan,relative_gap_pct,topk_gap_pct,best_sample_gap_pct,output_path
dataset_20.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.0,cobyla,5,aer,,ilp,188.0,152.0,141.0,141.0,33.333333333333336,7.801418439716312,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_priority_run0_results.json
dataset_20.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.0,cobyla,5,aer,,ilp,188.0,141.0,141.0,141.0,33.333333333333336,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_priority_run1_results.json
dataset_20.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.0,cobyla,5,aer,,ilp,188.0,145.0,141.0,141.0,33.333333333333336,2.8368794326241136,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_priority_run2_results.json
dataset_20.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.0,cobyla,5,aer,,ilp,188.0,141.0,141.0,141.0,33.333333333333336,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_priority_run3_results.json
dataset_20.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.0,cobyla,5,aer,,ilp,188.0,141.0,141.0,141.0,33.333333333333336,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_priority_run4_results.json
dataset_20.csv,20,0,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,142.0,141.0,141.0,32.6241134751773,0.7092198581560284,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run0_results.json
dataset_20.csv,20,1,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,188.0,153.0,141.0,141.0,33.333333333333336,8.51063829787234,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run1_results.json
dataset_20.csv,20,2,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,190.0,143.0,141.0,141.0,34.751773049645394,1.4184397163120568,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run2_results.json
dataset_20.csv,20,3,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,188.0,157.0,141.0,141.0,33.333333333333336,11.347517730496454,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run3_results.json
dataset_20.csv,20,4,1,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,188.0,142.0,141.0,141.0,33.333333333333336,0.7092198581560284,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r1_shots8192_results_shallow_p1_run4_results.json
