dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,topk_makespan,min_makespan_in_samples,classical_makespan,relative_gap_pct,topk_gap_pct,best_sample_gap_pct,output_path
dataset_10.csv,10,0,2,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,brute_force,64.0,53.0,53.0,53,20.754716981132077,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_baseline_lpt_topk200_results.json
dataset_10.csv,10,0,2,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,lpt,64.0,53.0,53.0,53,20.754716981132077,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_baseline_lpt_topk200_results.json
dataset_20.csv,20,0,3,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,ilp,187.0,142.0,141.0,141.0,32.6241134751773,0.7092198581560284,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_baseline_lpt_topk200_results.json
dataset_20.csv,20,0,3,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,lpt,187.0,151.0,141.0,142,31.690140845070424,6.338028169014085,-0.704225352112676,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_baseline_lpt_topk200_results.json
dataset_25.csv,25,0,3,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,ilp,205.0,157.0,145.0,145.0,41.37931034482759,8.275862068965518,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_baseline_lpt_topk200_results.json
dataset_25.csv,25,0,3,1024,8192,10.0,10.0,,0.1,cobyla,5,aer,,lpt,205.0,189.0,145.0,147,39.45578231292517,28.571428571428573,-1.3605442176870748,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_baseline_lpt_topk200_results.json
